instance_id,design,quality_class,center_x_mm,center_y_mm,center_z_mm,scale_mm
T20ID10G0_00047,T20ID10,G0,0.0000,0.0000,0.0000,27.9503
T20ID10G0_00048,T20ID10,G0,0.0000,0.0000,0.0000,27.9495
T20ID10G0_00049,T20ID10,G0,0.0000,0.0000,0.0000,27.9432
T20ID10G0_00050,T20ID10,G0,0.0000,0.0000,0.0000,27.9562
T20ID10G0_00051,T20ID10,G0,0.0000,0.0000,0.0000,27.9471
T20ID10G0_00052,T20ID10,G0,0.0000,0.0000,0.0000,27.9479
T20ID10G0_00053,T20ID10,G0,0.0000,0.0000,0.0000,27.9526
T20ID10G0_00054,T20ID10,G0,0.0000,0.0000,0.0000,27.9493
T20ID10G0_00055,T20ID10,G0,0.0000,0.0000,0.0000,27.9547
T20ID10G0_00056,T20ID10,G0,0.0000,0.0000,0.0000,27.9507
T20ID10G0_00057,T20ID10,G0,0.0000,0.0000,0.0000,27.9574
T20ID10G0_00058,T20ID10,G0,0.0000,0.0000,0.0000,27.9584
T20ID10G0_00059,T20ID10,G0,0.0000,0.0000,0.0000,27.9474
T20ID10G0_00060,T20ID10,G0,0.0000,0.0000,0.0000,27.9475
T20ID10G0_00061,T20ID10,G0,0.0000,0.0000,0.0000,27.9527
T20ID10G0_00062,T20ID10,G0,0.0000,0.0000,0.0000,27.9576
T20ID10G0_00063,T20ID10,G0,0.0000,0.0000,0.0000,27.9510
T20ID10G0_00064,T20ID10,G0,0.0000,0.0000,0.0000,27.9473
T20ID10G0_00065,T20ID10,G0,0.0000,0.0000,0.0000,27.9555
T20ID10G0_00066,T20ID10,G0,0.0000,0.0000,0.0000,27.9497
T20ID10G0_00067,T20ID10,G0,0.0000,0.0000,0.0000,27.9467
T20ID10G0_00068,T20ID10,G0,0.0000,0.0000,0.0000,27.9533
T20ID10G0_00069,T20ID10,G0,0.0000,0.0000,0.0000,27.9474
T20ID10G0_00070,T20ID10,G0,0.0000,0.0000,0.0000,27.9523
T20ID10G0_00071,T20ID10,G0,0.0000,0.0000,0.0000,27.9533
T20ID10G0_00072,T20ID10,G0,0.0000,0.0000,0.0000,27.9476
T20ID10G0_00073,T20ID10,G0,0.0000,0.0000,0.0000,27.9568
T20ID10G0_00074,T20ID10,G0,0.0000,0.0000,0.0000,27.9496
T20ID10G0_00075,T20ID10,G0,0.0000,0.0000,0.0000,27.9555
T20ID10G0_00076,T20ID10,G0,0.0000,0.0000,0.0000,27.9513
T20ID10G0_00077,T20ID10,G0,0.0000,0.0000,0.0000,27.9595
T20ID10G0_00078,T20ID10,G0,0.0000,0.0000,0.0000,27.9483
T20ID10G0_00079,T20ID10,G0,0.0000,0.0000,0.0000,27.9581
T20ID10G0_00080,T20ID10,G0,0.0000,0.0000,0.0000,27.9512
T20ID10G0_00081,T20ID10,G0,0.0000,0.0000,0.0000,27.9521
T20ID10G0_00082,T20ID10,G0,0.0000,0.0000,0.0000,27.9469
T20ID10G0_00083,T20ID10,G0,0.0000,0.0000,0.0000,27.9492
T20ID10G0_00084,T20ID10,G0,0.0000,0.0000,0.0000,27.9505
T20ID10G0_00085,T20ID10,G0,0.0000,0.0000,0.0000,27.9463
T20ID10G0_00086,T20ID10,G0,0.0000,0.0000,0.0000,27.9521
T20ID10G0_00087,T20ID10,G0,0.0000,0.0000,0.0000,27.9452
T20ID10G0_00088,T20ID10,G0,0.0000,0.0000,0.0000,27.9540
T20ID10G0_00089,T20ID10,G0,0.0000,0.0000,0.0000,27.9495
T20ID10G0_00090,T20ID10,G0,0.0000,0.0000,0.0000,27.9538
T20ID10G0_00091,T20ID10,G0,0.0000,0.0000,0.0000,27.9458
T20ID10G0_00092,T20ID10,G0,0.0000,0.0000,0.0000,27.9537
T20ID10G0_00093,T20ID10,G0,0.0000,0.0000,0.0000,27.9447
T20ID10G0_00094,T20ID10,G0,0.0000,0.0000,0.0000,27.9494
T20ID10G0_00095,T20ID10,G0,0.0000,0.0000,0.0000,27.9532
T20ID10G0_00096,T20ID10,G0,0.0000,0.0000,0.0000,27.9514
T20ID10G0_00097,T20ID10,G0,0.0000,0.0000,0.0000,27.9506
T20ID10G0_00098,T20ID10,G0,0.0000,0.0000,0.0000,27.9489
T20ID10G0_00099,T20ID10,G0,0.0000,0.0000,0.0000,27.9510
T20ID10G0_00100,T20ID10,G0,0.0000,0.0000,0.0000,27.9537
T20ID10G0_00101,T20ID10,G0,0.0000,0.0000,0.0000,27.9489
T20ID10G0_00102,T20ID10,G0,0.0000,0.0000,0.0000,27.9421
T20ID10G0_00103,T20ID10,G0,0.0000,0.0000,0.0000,27.9641
T20ID10G0_00104,T20ID10,G0,0.0000,0.0000,0.0000,27.9594
T20ID10G0_00105,T20ID10,G0,0.0000,0.0000,0.0000,27.9508
T20ID10G0_00106,T20ID10,G0,0.0000,0.0000,0.0000,27.9485
T20ID10G0_00107,T20ID10,G0,0.0000,0.0000,0.0000,27.9509
T20ID10G0_00108,T20ID10,G0,0.0000,0.0000,0.0000,27.9512
T20ID10G0_00109,T20ID10,G0,0.0000,0.0000,0.0000,27.9529
T20ID10G0_00110,T20ID10,G0,0.0000,0.0000,0.0000,27.9480
T20ID10G0_00111,T20ID10,G0,0.0000,0.0000,0.0000,27.9556
T20ID10G0_00112,T20ID10,G0,0.0000,0.0000,0.0000,27.9500
T20ID10G0_00113,T20ID10,G0,0.0000,0.0000,0.0000,27.9488
T20ID10G0_00114,T20ID10,G0,0.0000,0.0000,0.0000,27.9535
T20ID10G0_00115,T20ID10,G0,0.0000,0.0000,0.0000,27.9516
T20ID10G0_00116,T20ID10,G0,0.0000,0.0000,0.0000,27.9510
T20ID10G0_00117,T20ID10,G0,0.0000,0.0000,0.0000,27.9561
T20ID10G0_00118,T20ID10,G0,0.0000,0.0000,0.0000,27.9550
T20ID10G0_00119,T20ID10,G0,0.0000,0.0000,0.0000,27.9522
T20ID10G0_00120,T20ID10,G0,0.0000,0.0000,0.0000,27.9541
T20ID10G0_00121,T20ID10,G0,0.0000,0.0000,0.0000,27.9507
T20ID10G0_00122,T20ID10,G0,0.0000,0.0000,0.0000,27.9581
T20ID10G0_00123,T20ID10,G0,0.0000,0.0000,0.0000,27.9492
T20ID10G0_00124,T20ID10,G0,0.0000,0.0000,0.0000,27.9538
T20ID10G0_00125,T20ID10,G0,0.0000,0.0000,0.0000,27.9537
T20ID10G0_00126,T20ID10,G0,0.0000,0.0000,0.0000,27.9473
T20ID10G0_00127,T20ID10,G0,0.0000,0.0000,0.0000,27.9561
T20ID10G0_00128,T20ID10,G0,0.0000,0.0000,0.0000,27.9500
T20ID10G0_00129,T20ID10,G0,0.0000,0.0000,0.0000,27.9493
T20ID10G0_00130,T20ID10,G0,0.0000,0.0000,0.0000,27.9582
T20ID10G0_00131,T20ID10,G0,0.0000,0.0000,0.0000,27.9580
T20ID10G0_00132,T20ID10,G0,0.0000,0.0000,0.0000,27.9512
T20ID10G0_00133,T20ID10,G0,0.0000,0.0000,0.0000,27.9508
T20ID10G0_00134,T20ID10,G0,0.0000,0.0000,0.0000,27.9526
T20ID10G0_00135,T20ID10,G0,0.0000,0.0000,0.0000,27.9425
T20ID10G0_00136,T20ID10,G0,0.0000,0.0000,0.0000,27.9513
T20ID10G0_00137,T20ID10,G0,0.0000,0.0000,0.0000,27.9530
T20ID10G0_00138,T20ID10,G0,0.0000,0.0000,0.0000,27.9538
T20ID10G0_00139,T20ID10,G0,0.0000,0.0000,0.0000,27.9484
T20ID10G0_00140,T20ID10,G0,0.0000,0.0000,0.0000,27.9512
T20ID10G0_00141,T20ID10,G0,0.0000,0.0000,0.0000,27.9535
T20ID10G0_00142,T20ID10,G0,0.0000,0.0000,0.0000,27.9541
T20ID10G0_00143,T20ID10,G0,0.0000,0.0000,0.0000,27.9523
T20ID10G0_00144,T20ID10,G0,0.0000,0.0000,0.0000,27.9577
T20ID10G0_00145,T20ID10,G0,0.0000,0.0000,0.0000,27.9520
T20ID10G0_00146,T20ID10,G0,0.0000,0.0000,0.0000,27.9506
T20ID10G0_00147,T20ID10,G0,0.0000,0.0000,0.0000,27.9418
T20ID10G0_00148,T20ID10,G0,0.0000,0.0000,0.0000,27.9523
T20ID10G0_00149,T20ID10,G0,0.0000,0.0000,0.0000,27.9507
T20ID10G0_00150,T20ID10,G0,0.0000,0.0000,0.0000,27.9445
T20ID10G0_00151,T20ID10,G0,0.0000,0.0000,0.0000,27.9550
T20ID10G0_00152,T20ID10,G0,0.0000,0.0000,0.0000,27.9535
T20ID10G0_00153,T20ID10,G0,0.0000,0.0000,0.0000,27.9502
T20ID10G0_00154,T20ID10,G0,0.0000,0.0000,0.0000,27.9418
T20ID10G0_00155,T20ID10,G0,0.0000,0.0000,0.0000,27.9456
T20ID10G0_00156,T20ID10,G0,0.0000,0.0000,0.0000,27.9541
T20ID10G0_00157,T20ID10,G0,0.0000,0.0000,0.0000,27.9552
T20ID10G0_00158,T20ID10,G0,0.0000,0.0000,0.0000,27.9532
T20ID10G0_00159,T20ID10,G0,0.0000,0.0000,0.0000,27.9516
T20ID10G0_00160,T20ID10,G0,0.0000,0.0000,0.0000,27.9486
T20ID10G0_00161,T20ID10,G0,0.0000,0.0000,0.0000,27.9519
T20ID10G0_00162,T20ID10,G0,0.0000,0.0000,0.0000,27.9500
T20ID10G0_00163,T20ID10,G0,0.0000,0.0000,0.0000,27.9614
T20ID10G0_00164,T20ID10,G0,0.0000,0.0000,0.0000,27.9439
T20ID10G0_00165,T20ID10,G0,0.0000,0.0000,0.0000,27.9478
T20ID10G0_00166,T20ID10,G0,0.0000,0.0000,0.0000,27.9464
T20ID10G0_00167,T20ID10,G0,0.0000,0.0000,0.0000,27.9451
T20ID10G0_00168,T20ID10,G0,0.0000,0.0000,0.0000,27.9522
T20ID10G0_00169,T20ID10,G0,0.0000,0.0000,0.0000,27.9547
T20ID10G0_00170,T20ID10,G0,0.0000,0.0000,0.0000,27.9484
T20ID10G0_00171,T20ID10,G0,0.0000,0.0000,0.0000,27.9595
T20ID10G0_00172,T20ID10,G0,0.0000,0.0000,0.0000,27.9481
T20ID10G0_00173,T20ID10,G0,0.0000,0.0000,0.0000,27.9518
T20ID10G0_00174,T20ID10,G0,0.0000,0.0000,0.0000,27.9501
T20ID10G0_00175,T20ID10,G0,0.0000,0.0000,0.0000,27.9452
T20ID10G0_00176,T20ID10,G0,0.0000,0.0000,0.0000,27.9426
T20ID10G0_00177,T20ID10,G0,0.0000,0.0000,0.0000,27.9454
T20ID10G0_00178,T20ID10,G0,0.0000,0.0000,0.0000,27.9519
T20ID10G0_00179,T20ID10,G0,0.0000,0.0000,0.0000,27.9473
T20ID10G0_00180,T20ID10,G0,0.0000,0.0000,0.0000,27.9552
T20ID10G0_00181,T20ID10,G0,0.0000,0.0000,0.0000,27.9541
T20ID10G0_00182,T20ID10,G0,0.0000,0.0000,0.0000,27.9543
T20ID10G0_00183,T20ID10,G0,0.0000,0.0000,0.0000,27.9558
T20ID10G0_00184,T20ID10,G0,0.0000,0.0000,0.0000,27.9620
T20ID10G0_00185,T20ID10,G0,0.0000,0.0000,0.0000,27.9474
T20ID10G0_00186,T20ID10,G0,0.0000,0.0000,0.0000,27.9514
T20ID10G0_00187,T20ID10,G0,0.0000,0.0000,0.0000,27.9513
T20ID10G0_00188,T20ID10,G0,0.0000,0.0000,0.0000,27.9504
T20ID10G0_00189,T20ID10,G0,0.0000,0.0000,0.0000,27.9523
T20ID10G0_00190,T20ID10,G0,0.0000,0.0000,0.0000,27.9502
T20ID10G0_00191,T20ID10,G0,0.0000,0.0000,0.0000,27.9578
T20ID10G0_00192,T20ID10,G0,0.0000,0.0000,0.0000,27.9434
T20ID10G0_00193,T20ID10,G0,0.0000,0.0000,0.0000,27.9543
T20ID10G0_00194,T20ID10,G0,0.0000,0.0000,0.0000,27.9521
T20ID10G0_00195,T20ID10,G0,0.0000,0.0000,0.0000,27.9504
T20ID10G0_00196,T20ID10,G0,0.0000,0.0000,0.0000,27.9456
T20ID10G0_00197,T20ID10,G0,0.0000,0.0000,0.0000,27.9525
T20ID10G0_00198,T20ID10,G0,0.0000,0.0000,0.0000,27.9480
T20ID10G0_00199,T20ID10,G0,0.0000,0.0000,0.0000,27.9484
T20ID10G0_00200,T20ID10,G0,0.0000,0.0000,0.0000,27.9565
T20ID10G0_00201,T20ID10,G0,0.0000,0.0000,0.0000,27.9454
T20ID10G0_00202,T20ID10,G0,0.0000,0.0000,0.0000,27.9487
T20ID10G0_00203,T20ID10,G0,0.0000,0.0000,0.0000,27.9486
T20ID10G0_00204,T20ID10,G0,0.0000,0.0000,0.0000,27.9517
T20ID10G0_00205,T20ID10,G0,0.0000,0.0000,0.0000,27.9491
T20ID10G0_00206,T20ID10,G0,0.0000,0.0000,0.0000,27.9498
T20ID10G0_00207,T20ID10,G0,0.0000,0.0000,0.0000,27.9475
T20ID10G0_00208,T20ID10,G0,0.0000,0.0000,0.0000,27.9470
T20ID10G0_00209,T20ID10,G0,0.0000,0.0000,0.0000,27.9519
T20ID10G0_00210,T20ID10,G0,0.0000,0.0000,0.0000,27.9490
T20ID10G0_00211,T20ID10,G0,0.0000,0.0000,0.0000,27.9475
T20ID10G0_00212,T20ID10,G0,0.0000,0.0000,0.0000,27.9551
T20ID10G0_00213,T20ID10,G0,0.0000,0.0000,0.0000,27.9481
T20ID10G0_00214,T20ID10,G0,0.0000,0.0000,0.0000,27.9544
T20ID10G0_00215,T20ID10,G0,0.0000,0.0000,0.0000,27.9608
T20ID10G0_00216,T20ID10,G0,0.0000,0.0000,0.0000,27.9492
T20ID10G0_00217,T20ID10,G0,0.0000,0.0000,0.0000,27.9449
T20ID10G0_00218,T20ID10,G0,0.0000,0.0000,0.0000,27.9429
T20ID10G0_00219,T20ID10,G0,0.0000,0.0000,0.0000,27.9462
T20ID10G0_00220,T20ID10,G0,0.0000,0.0000,0.0000,27.9508
T20ID10G0_00221,T20ID10,G0,0.0000,0.0000,0.0000,27.9510
T20ID10G0_00222,T20ID10,G0,0.0000,0.0000,0.0000,27.9509
T20ID10G0_00223,T20ID10,G0,0.0000,0.0000,0.0000,27.9484
T20ID10G0_00224,T20ID10,G0,0.0000,0.0000,0.0000,27.9502
T20ID10G0_00225,T20ID10,G0,0.0000,0.0000,0.0000,27.9600
T20ID10G0_00226,T20ID10,G0,0.0000,0.0000,0.0000,27.9501
T20ID10G0_00227,T20ID10,G0,0.0000,0.0000,0.0000,27.9460
T20ID10G0_00228,T20ID10,G0,0.0000,0.0000,0.0000,27.9561
T20ID10G0_00229,T20ID10,G0,0.0000,0.0000,0.0000,27.9470
T20ID10G0_00230,T20ID10,G0,0.0000,0.0000,0.0000,27.9504
T20ID10G0_00231,T20ID10,G0,0.0000,0.0000,0.0000,27.9453
T20ID10G0_00232,T20ID10,G0,0.0000,0.0000,0.0000,27.9564
T20ID10G0_00233,T20ID10,G0,0.0000,0.0000,0.0000,27.9606
T20ID10G0_00234,T20ID10,G0,0.0000,0.0000,0.0000,27.9492
T20ID10G0_00235,T20ID10,G0,0.0000,0.0000,0.0000,27.9498
T20ID10G0_00236,T20ID10,G0,0.0000,0.0000,0.0000,27.9536
T20ID10G0_00237,T20ID10,G0,0.0000,0.0000,0.0000,27.9534
T20ID10G0_00238,T20ID10,G0,0.0000,0.0000,0.0000,27.9524
T20ID10G0_00239,T20ID10,G0,0.0000,0.0000,0.0000,27.9498
T20ID10G0_00240,T20ID10,G0,0.0000,0.0000,0.0000,27.9456
T20ID10G0_00241,T20ID10,G0,0.0000,0.0000,0.0000,27.9468
T20ID10G0_00242,T20ID10,G0,0.0000,0.0000,0.0000,27.9500
T20ID10G0_00243,T20ID10,G0,0.0000,0.0000,0.0000,27.9545
T20ID10G0_00244,T20ID10,G0,0.0000,0.0000,0.0000,27.9586
T20ID10G0_00245,T20ID10,G0,0.0000,0.0000,0.0000,27.9534
T20ID10G0_00246,T20ID10,G0,0.0000,0.0000,0.0000,27.9505
T20ID10G0_00247,T20ID10,G0,0.0000,0.0000,0.0000,27.9450
T20ID10G0_00248,T20ID10,G0,0.0000,0.0000,0.0000,27.9534
T20ID10G0_00249,T20ID10,G0,0.0000,0.0000,0.0000,27.9499
T20ID10G0_00250,T20ID10,G0,0.0000,0.0000,0.0000,27.9618
T20ID10G0_00251,T20ID10,G0,0.0000,0.0000,0.0000,27.9500
T20ID10G0_00252,T20ID10,G0,0.0000,0.0000,0.0000,27.9511
T20ID10G0_00253,T20ID10,G0,0.0000,0.0000,0.0000,27.9517
T20ID10G0_00254,T20ID10,G0,0.0000,0.0000,0.0000,27.9473
T20ID10G0_00255,T20ID10,G0,0.0000,0.0000,0.0000,27.9517
T20ID10G0_00256,T20ID10,G0,0.0000,0.0000,0.0000,27.9547
T20ID10G0_00257,T20ID10,G0,0.0000,0.0000,0.0000,27.9522
T20ID10G0_00258,T20ID10,G0,0.0000,0.0000,0.0000,27.9509
T20ID10G0_00259,T20ID10,G0,0.0000,0.0000,0.0000,27.9505
T20ID10G0_00260,T20ID10,G0,0.0000,0.0000,0.0000,27.9511
T20ID10G0_00261,T20ID10,G0,0.0000,0.0000,0.0000,27.9490
T20ID10G0_00262,T20ID10,G0,0.0000,0.0000,0.0000,27.9503
T20ID10G0_00263,T20ID10,G0,0.0000,0.0000,0.0000,27.9416
T20ID10G0_00264,T20ID10,G0,0.0000,0.0000,0.0000,27.9512
T20ID10G0_00265,T20ID10,G0,0.0000,0.0000,0.0000,27.9609
T20ID10G0_00266,T20ID10,G0,0.0000,0.0000,0.0000,27.9510
T20ID10G0_00267,T20ID10,G0,0.0000,0.0000,0.0000,27.9504
T20ID10G0_00268,T20ID10,G0,0.0000,0.0000,0.0000,27.9551
T20ID10G0_00269,T20ID10,G0,0.0000,0.0000,0.0000,27.9497
T20ID10G0_00270,T20ID10,G0,0.0000,0.0000,0.0000,27.9478
T20ID10G0_00271,T20ID10,G0,0.0000,0.0000,0.0000,27.9537
T20ID10G0_00272,T20ID10,G0,0.0000,0.0000,0.0000,27.9474
T20ID10G0_00273,T20ID10,G0,0.0000,0.0000,0.0000,27.9484
T20ID10G0_00274,T20ID10,G0,0.0000,0.0000,0.0000,27.9518
T20ID10G0_00275,T20ID10,G0,0.0000,0.0000,0.0000,27.9543
T20ID10G0_00276,T20ID10,G0,0.0000,0.0000,0.0000,27.9550
T20ID10G0_00277,T20ID10,G0,0.0000,0.0000,0.0000,27.9479
T20ID10G0_00278,T20ID10,G0,0.0000,0.0000,0.0000,27.9442
T20ID10G0_00279,T20ID10,G0,0.0000,0.0000,0.0000,27.9506
T20ID10G0_00280,T20ID10,G0,0.0000,0.0000,0.0000,27.9494
T20ID10G0_00281,T20ID10,G0,0.0000,0.0000,0.0000,27.9483
T20ID10G0_00282,T20ID10,G0,0.0000,0.0000,0.0000,27.9485
T20ID10G0_00283,T20ID10,G0,0.0000,0.0000,0.0000,27.9452
T20ID10G0_00284,T20ID10,G0,0.0000,0.0000,0.0000,27.9472
T20ID10G0_00285,T20ID10,G0,0.0000,0.0000,0.0000,27.9537
T20ID10G0_00286,T20ID10,G0,0.0000,0.0000,0.0000,27.9536
T20ID10G0_00287,T20ID10,G0,0.0000,0.0000,0.0000,27.9547
T20ID10G0_00288,T20ID10,G0,0.0000,0.0000,0.0000,27.9444
T20ID10G0_00289,T20ID10,G0,0.0000,0.0000,0.0000,27.9444
T20ID10G0_00290,T20ID10,G0,0.0000,0.0000,0.0000,27.9514
T20ID10G0_00291,T20ID10,G0,0.0000,0.0000,0.0000,27.9563
T20ID10G0_00292,T20ID10,G0,0.0000,0.0000,0.0000,27.9453
T20ID10G0_00293,T20ID10,G0,0.0000,0.0000,0.0000,27.9519
T20ID10G0_00294,T20ID10,G0,0.0000,0.0000,0.0000,27.9512
T20ID10G0_00295,T20ID10,G0,0.0000,0.0000,0.0000,27.9529
T20ID10G0_00296,T20ID10,G0,0.0000,0.0000,0.0000,27.9502
T20ID10G0_00297,T20ID10,G0,0.0000,0.0000,0.0000,27.9505
T20ID10G0_00298,T20ID10,G0,0.0000,0.0000,0.0000,27.9504
T20ID10G0_00299,T20ID10,G0,0.0000,0.0000,0.0000,27.9553
T20ID10G0_00300,T20ID10,G0,0.0000,0.0000,0.0000,27.9478
T20ID10G0_00301,T20ID10,G0,0.0000,0.0000,0.0000,27.9548
T20ID10G0_00302,T20ID10,G0,0.0000,0.0000,0.0000,27.9494
T20ID10G0_00303,T20ID10,G0,0.0000,0.0000,0.0000,27.9552
T20ID10G0_00304,T20ID10,G0,0.0000,0.0000,0.0000,27.9534
T20ID10G0_00305,T20ID10,G0,0.0000,0.0000,0.0000,27.9506
T20ID10G0_00306,T20ID10,G0,0.0000,0.0000,0.0000,27.9561
T20ID10G0_00307,T20ID10,G0,0.0000,0.0000,0.0000,27.9538
T20ID10G0_00308,T20ID10,G0,0.0000,0.0000,0.0000,27.9483
T20ID10G0_00309,T20ID10,G0,0.0000,0.0000,0.0000,27.9528
T20ID10G0_00310,T20ID10,G0,0.0000,0.0000,0.0000,27.9433
T20ID10G0_00311,T20ID10,G0,0.0000,0.0000,0.0000,27.9596
T20ID10G0_00312,T20ID10,G0,0.0000,0.0000,0.0000,27.9485
T20ID10G0_00313,T20ID10,G0,0.0000,0.0000,0.0000,27.9456
T20ID10G0_00314,T20ID10,G0,0.0000,0.0000,0.0000,27.9549
T20ID10G0_00315,T20ID10,G0,0.0000,0.0000,0.0000,27.9498
T20ID10G0_00316,T20ID10,G0,0.0000,0.0000,0.0000,27.9525
T20ID10G0_00317,T20ID10,G0,0.0000,0.0000,0.0000,27.9527
T20ID10G0_00318,T20ID10,G0,0.0000,0.0000,0.0000,27.9497
T20ID10G0_00319,T20ID10,G0,0.0000,0.0000,0.0000,27.9525
T20ID10G0_00320,T20ID10,G0,0.0000,0.0000,0.0000,27.9524
T20ID10G0_00321,T20ID10,G0,0.0000,0.0000,0.0000,27.9552
T20ID10G0_00322,T20ID10,G0,0.0000,0.0000,0.0000,27.9507
T20ID10G0_00323,T20ID10,G0,0.0000,0.0000,0.0000,27.9564
T20ID10G0_00324,T20ID10,G0,0.0000,0.0000,0.0000,27.9469
T20ID10G0_00325,T20ID10,G0,0.0000,0.0000,0.0000,27.9534
T20ID10G0_00326,T20ID10,G0,0.0000,0.0000,0.0000,27.9511
T20ID10G0_00327,T20ID10,G0,0.0000,0.0000,0.0000,27.9452
T20ID10G0_00328,T20ID10,G0,0.0000,0.0000,0.0000,27.9504
T20ID10G0_00329,T20ID10,G0,0.0000,0.0000,0.0000,27.9568
T20ID10G0_00330,T20ID10,G0,0.0000,0.0000,0.0000,27.9467
T20ID10G0_00331,T20ID10,G0,0.0000,0.0000,0.0000,27.9551
T20ID10G0_00332,T20ID10,G0,0.0000,0.0000,0.0000,27.9532
T20ID10G0_00333,T20ID10,G0,0.0000,0.0000,0.0000,27.9506
T20ID10G0_00334,T20ID10,G0,0.0000,0.0000,0.0000,27.9508
T20ID10G0_00335,T20ID10,G0,0.0000,0.0000,0.0000,27.9497
T20ID10G0_00336,T20ID10,G0,0.0000,0.0000,0.0000,27.9478
T20ID10G0_00337,T20ID10,G0,0.0000,0.0000,0.0000,27.9514
T20ID10G0_00338,T20ID10,G0,0.0000,0.0000,0.0000,27.9547
T20ID10G0_00339,T20ID10,G0,0.0000,0.0000,0.0000,27.9509
T20ID10G0_00340,T20ID10,G0,0.0000,0.0000,0.0000,27.9498
T20ID10G0_00341,T20ID10,G0,0.0000,0.0000,0.0000,27.9520
T20ID10G0_00342,T20ID10,G0,0.0000,0.0000,0.0000,27.9570
T20ID10G0_00343,T20ID10,G0,0.0000,0.0000,0.0000,27.9540
T20ID10G0_00344,T20ID10,G0,0.0000,0.0000,0.0000,27.9476
T20ID10G0_00345,T20ID10,G0,0.0000,0.0000,0.0000,27.9490
T20ID10G0_00346,T20ID10,G0,0.0000,0.0000,0.0000,27.9435
T20ID10G0_00347,T20ID10,G0,0.0000,0.0000,0.0000,27.9490
T20ID10G0_00348,T20ID10,G0,0.0000,0.0000,0.0000,27.9466
